id	tgt_text
audio_0_93	▁त ▁अत ▁म ▁य ह ▁ह न ▁चहए
audio_0_66	▁इस ल ए ▁इस म ▁ r ▁2 ▁और ▁ r ▁ 3 ▁श मल ▁ह ▁क यक ▁इस म ▁ r ▁1 ▁श मल ▁ न ह ▁ह
audio_0_63	▁इस ल ए ▁आप ▁दख ग ▁क ▁य ह ▁इस ▁इकवशन ▁क ▁सथ ▁समन ▁ह ▁और ▁य ह ▁अ ज ञ त ▁ह ▁और
audio_0_79	▁त ▁आप ▁इस ▁इकवशन ▁क ▁ x ▁ i ▁क ▁सथ ▁प ह ल ▁इकवशन ▁क ▁म लट पल ई ▁कर त ▁ह ▁ज ▁क ▁य ह ▁बत य ▁ग य ▁ह ▁और ▁य ▁इकवशन ▁ y ▁ i ▁क ▁सथ ▁ह ▁और ▁फर ▁य द ▁आप ▁उन ह ▁ज ड त ▁ह ▁त ▁आप क ▁त सर ▁इकवशन ▁फर ▁स ▁मलग ▁ज ▁क ▁ w ▁ i ▁स ▁म लट पल ई ▁ह त ▁ह ▁आप ▁उ स ▁च ज ▁क ▁ज च ▁कर ▁सक त ▁ह
audio_0_25	▁इस ल ए ▁प ह ल ▁बत ▁जस ▁क ▁मन ▁परजक शन ▁म टर कस ▁क ▁इटर प रट शन ▁क ▁मश ▁कय ▁ह ▁क ▁अग र ▁म ▁इस ▁ 3 ▁ड मशन ल ▁क ऑ र डनट ▁प व इट ▁क ▁सथ ▁म लट पल ई ▁कर त ▁ह ▁त ▁आप क ▁2 ▁ड मशन ल ▁इ मज ▁प व इट ▁मलग ▁और ▁इस ▁परजक शन ▁म टर कस ▁क ▁ र क ▁ 3 ▁ह ▁य ह ▁एक ▁म टर कस ▁ह ▁इस क ▁आ कर ▁ह ▁और ▁य द ▁परजक शन ▁म टर कस ▁म ▁इड पड ट ▁परमटर स ▁क ▁स खय ▁1 1 ▁ह ▁त ▁फर डम ▁क ▁ डग र ▁1 1 ▁ह
audio_0_72	▁त ▁म ▁इस ▁एक ▁टरस प ज ▁ऑपरश स ▁क ▁रप ▁म ▁लग ▁उन ▁इकवशन ▁म ▁य ह ▁ w ▁1 ▁ x ▁ i ▁टरस प ज ▁ r ▁2 ▁म इन स ▁ y ▁ i ▁ x ▁ i ▁टरस प ज ▁ r ▁ 3 ▁हग
audio_0_19	▁इस ▁क लब र शन ▁म टर कस ▁क ▁इन वर स ▁क ▁बर ▁म ▁एक ▁और ▁बत ▁हम ▁ ध य न ▁द न ▁चहए ▁य ह ▁भ ▁ ध य न ▁रख न ▁द ल च स प ▁ह ▁क ▁य ह ▁क लब र शन ▁म टर कस ▁भ ▁एक ▁ ऊ पर ▁ टर यग ल र ▁म टर कस ▁ह ▁और ▁च क ▁इ मज ▁क ऑ र डनट ▁पइट ▁और ▁क रसप डग ▁क मर ▁स टरक ▁क ऑ र डनट ▁स सटम ▁क ▁ब च ▁स ब ध ▁इस ▁रप ▁म ▁ह
audio_0_92	▁आप ▁जन त ▁ह ▁क ▁परजक शन ▁म टर कस ▁क ▁इस ▁एलमट ▁क ▁रपरजट ▁कर त ▁ह ▁उन क ▁पकत ▁क ▁व क टर ▁ r ▁1 ▁ r ▁2 ▁ r ▁ 3 ▁ज ▁क ▁डईमशन ▁क ▁भ ▁ह ▁और ▁पर त यक ▁ब द ▁क ▁क रसप डग ▁आप क ▁द ▁इकवशन ▁द ग
audio_0_15	▁एक ▁और ▁रपरजट शन ▁अग र ▁म ▁ m ▁क ▁बह र ▁ल ▁ज त ▁ह ▁त ▁म ▁इस ▁पर ▁व चर ▁कर ▁सक त ▁ह ▁क ▁य ह ▁एक ▁आइ ड ट ▁म टर कस ▁ह ▁ज ▁परजक शन ▁म टर कस ▁क ▁रपरजट शन ▁कर न ▁क ▁एक ▁पर कर ▁क ▁क नन क ल ▁रप ▁ह ▁य द ▁आप क ▁य द ▁ह ▁क ▁य ह ▁उप ▁आइ ड ट ▁म टर कस ▁क ▁ह स स ▁ह ▁और ▁य ह ▁क छ ▁भ ▁ न ह ▁ह ▁ल कन ▁ नग शन ▁क दर ▁इस क ▁म त लब ▁ह ▁क ▁य ह ▁आप क ▁क मर ▁सटर ▁क ▁ नग शन ▁द त ▁ह
audio_0_10	▁व ▁ x ▁डयरकश स ▁और ▁ y ▁डयरकश स ▁क ▁ र ज ल य शन ▁क ▁सथ ▁श मल ▁ह त ▁ह
audio_0_68	▁त ▁आप ▁दख ग ▁क ▁य ह ▁ 0 ▁टरस प ज ▁य ह ▁1 ▁करस ▁ 3 ▁ 0 ▁व क टर ▁ह
