id	tgt_text
audio_0_93	▁so ▁th is ▁i s ▁the ▁su m m a ry
audio_0_66	▁so ▁it ▁wi ll ▁be ▁w 1 ▁x i ▁trans pose ▁r 2 ▁m inu s ▁y ▁i ▁x i ▁trans pose ▁r 3
audio_0_63	▁so ▁y ou ▁see ▁th at ▁th is ▁i s ▁equat ed ▁wi th ▁th is ▁equation ▁a nd ▁wh i ch ▁a re ▁unknown ▁h ere ▁h ere ▁unknown ▁i s ▁r 2 ▁a nd ▁r 3
audio_0_79	▁so ▁i f ▁i ▁multipl y ▁the ▁fi rst ▁equation ▁wi th ▁x ▁i ▁a nd ▁the n ▁ad d ▁it ▁u h ▁a nd ▁al so ▁multipl y ▁the ▁s ec ond ▁equation ▁wi th ▁y ▁i ▁so ▁y ou ▁multipl y ▁the ▁fi rst ▁equation ▁th is ▁equation ▁wi th ▁x ▁i ▁th at ▁i s ▁wh at ▁i s ▁to ld ▁h ere ▁a nd ▁th is ▁equation ▁wi th ▁y i ▁a nd ▁the n ▁i f ▁y ou ▁ad d ▁the m ▁y ou ▁wi ll ▁ge t ▁the ▁thi rd ▁equation ▁a ga in ▁wh i ch ▁i s ▁multipl i ed ▁b y ▁w ▁y ou ▁can ▁ ch ec k ▁th at ▁th ing ▁so ▁wh i ch ▁me ans ▁the se ▁equation ▁can ▁be ▁ der ive d ▁f ro m ▁the se ▁t wo ▁equations ▁so ▁wh i ch ▁me ans ▁th at ▁the re ▁a re ▁on l y ▁t wo ▁independent ▁equations ▁o ther ▁equation ▁can ▁be ▁ der ive d ▁so ▁th at ▁i s ▁wh y ▁in ▁the ▁ pre v i ou s ▁ca se ▁i ▁me n tion ed ▁th at ▁the re ▁a re ▁t wo ▁independent ▁equations ▁th at ▁w ou ld ▁be ▁formed ▁b y ▁u sing ▁its ▁ one ▁ sing le ▁point ▁correspondences ▁s p ec i f ic ation
audio_0_25	▁so ▁fi rst ▁th ing ▁a s ▁i ▁me n tion ed ▁the ▁inter pre t ation ▁o f ▁the ▁projecti on ▁matrix ▁i s ▁th at ▁i f ▁i ▁multipl y ▁it ▁wi th ▁the ▁th re e ▁dimension al ▁coordinate ▁point ▁y ou ▁wi ll ▁ge t ▁the ▁t wo ▁dimension al ▁ ima ge ▁point ▁a nd ▁the ▁ ra n k ▁o f ▁th is ▁p o s i tion ▁matrix ▁i s ▁th re e ▁its ▁a ▁th re e ▁c ro s s ▁f ou r ▁matrix ▁its ▁si z e ▁i s ▁th re e ▁c ro s s ▁f ou r ▁a nd ▁the ▁n um b er ▁o f ▁independent ▁par ame ter s ▁in ▁the ▁projecti on ▁matrix ▁i s ▁11
audio_0_72	▁so ▁it ▁wi ll ▁be ▁w 1 ▁x i ▁trans pose ▁r 2 ▁m inu s ▁y ▁i ▁x i ▁trans pose ▁r 3
audio_0_19	▁th is ▁i s ▁al so ▁inter e st ing ▁to ▁not e ▁th at ▁th is ▁ca li b ration ▁matrix ▁i s ▁al so ▁an ▁ upp er ▁ tri a ng u lar ▁matrix ▁a nd ▁si nce ▁the ▁relationship ▁be t w e en ▁the ▁ ima ge ▁coordinate ▁point ▁a nd ▁the ▁correspond ing ▁c ame ra ▁cent r ic ▁coordinate ▁s y st em ▁i s ▁in ▁th is ▁form
audio_0_92	▁a nd ▁ ea ch ▁ one ▁ ea ch ▁r ow ▁i s ▁multipl i ed ▁b y ▁th is ▁no ▁th is ▁element s ▁o f ▁the ▁projecti on ▁matrix ▁wh i ch ▁a re ▁represent ed ▁b y ▁the i r ▁r ow ▁vector s ▁r 1 ▁r 2 ▁r 3 ▁wh i ch ▁i s ▁al so ▁o f ▁dimension ▁1 2 ▁c ro s s ▁1 ▁a nd ▁ ea ch ▁ one ▁ ea ch ▁point ▁correspondence ▁wi ll ▁give ▁y ou ▁t wo ▁equations ▁so ▁fi n all y ▁the re ▁w ou ld ▁be ▁th is ▁w ou ld ▁be ▁ 2 n ▁c ro s s ▁1 ▁so ▁th is ▁i s ▁a ▁ 0 ▁vector
audio_0_15	▁an o ther ▁represent ation ▁i f ▁i ▁t a k e ▁m ▁out s i d e ▁the n ▁i ▁can ▁c on s i der ▁th is ▁i s ▁an ▁i d ent i t y ▁matrix ▁wh i ch ▁i s ▁a ▁ k i nd ▁o f ▁can on ic al ▁form ▁o f ▁represent ation ▁o f ▁projecti on ▁matrix ▁i f ▁y ou ▁ re m em b er ▁th at ▁i s ▁the ▁i d ent i t y ▁par t ▁o f ▁the ▁su b ▁matrix ▁a nd ▁th is ▁i s ▁no th ing ▁b ut ▁the ▁n e g ation ▁o f ▁the ▁cent er ▁th at ▁me ans ▁the ▁th is ▁m ▁in ve r se ▁p 4 ▁give s ▁y ou ▁the ▁c ame ra ▁cent er ▁n e g ation ▁o f ▁the ▁c ame ra ▁cent er ▁so ▁th is ▁i s ▁wh at ▁we ▁can ▁al so ▁a s ▁we ll ▁represent ▁th is ▁element ▁a s ▁m inu s ▁c ▁t i ld a ▁a nd ▁m ▁its e l f ▁can ▁be ▁de compo s ed ▁in t o ▁t wo ▁th re e ▁c ro s s ▁th re e ▁matrix ▁it ▁ha s ▁a ▁ compo n ent ▁ca li b ration ▁matrix ▁the ▁o ther ▁ compo n ent ▁i s ▁a ▁rotation ▁matrix ▁so ▁the se ▁a re ▁ d i f f er ent ▁w a y s ▁th is ▁projecti on ▁matrices ▁projecti on ▁the ▁matrix ▁can ▁be ▁y ou ▁ k n ow ▁represent ed ▁a nd ▁it ▁c ou ld ▁be ▁u nd e rst o o d ▁a ll ▁in ▁th is ▁form
audio_0_10	▁it ▁i s ▁the y ▁a re ▁involve d ▁wi th ▁the ▁ re s olu tion s ▁al on g ▁x ▁direction s ▁a nd ▁y ▁direction
audio_0_68	▁i f ▁i ▁not e ▁the ▁dimension ▁see ▁ ea ch ▁ one ▁i s ▁a ▁1 ▁c ro s s ▁3
audio_0_37	▁b ut ▁the o re t ic all y ▁i ▁can ▁exp re s s ▁an ▁ ima ge ▁coordinate ▁in ▁the ▁u sing ▁the ▁sc ale ▁f a ct o r ▁in ▁the ▁projecti ve ▁space
audio_0_16	▁so ▁ one ▁o f ▁the ▁represent ation ▁i s ▁th at ▁it ▁c ou ld ▁be ▁t wo ▁su b ▁matrices
audio_0_67	▁so ▁th is ▁i s ▁a ▁c olu m n ▁vector ▁th at ▁we ▁wi ll ▁ge t ▁f ro m ▁th is ▁o per ation
audio_0_82	▁fi n all y ▁a s ▁y ou ▁can ▁see ▁i ▁ha ve ▁ e li m in at ed ▁the ▁thi rd ▁r ow ▁ just ▁to ▁sho w ▁th at ▁the re ▁a re ▁on l y ▁t wo ▁equations ▁wh i ch ▁a re ▁formed ▁b y ▁u sing ▁a ▁ sing le ▁point ▁correspondence
audio_0_90	▁so ▁y ou ▁wi ll ▁ge t ▁the ▁equations ▁in ▁th is ▁form
audio_0_18	▁so ▁th is ▁i s ▁wh at ▁i ▁me n tion ed ▁m ▁i s ▁the ▁pro d u ct ▁o f ▁ k ▁a nd ▁r ▁a nd ▁p 4 ▁i s ▁the ▁l a st ▁c olu m n ▁o f ▁the ▁projecti on ▁matrix ▁p
audio_0_86	▁so ▁i f ▁i ▁ha ve ▁n ▁su ch ▁point s ▁n ▁point ▁correspondences ▁ ea ch ▁ one ▁wi ll ▁give ▁me ▁t wo ▁equations
audio_0_55	▁so ▁th is ▁i s ▁a ▁c olu m n ▁vector ▁th at ▁we ▁wi ll ▁ge t ▁f ro m ▁th is ▁o per ation
audio_0_38	▁so ▁i f ▁i ▁a pp l y ▁the ▁projecti on ▁matrix ▁i f ▁i ▁multipl y ▁an ▁ ima ge ▁coordinate ▁point ▁wi th ▁th is ▁projecti on ▁matrix ▁i ▁wi ll ▁ge t ▁a ▁point ▁in ▁the ▁t wo ▁dimension al ▁projecti ve ▁space ▁a nd ▁th at ▁i s ▁h ow ▁in ▁th is ▁form
audio_0_57	▁so ▁it ▁wi ll ▁be ▁w 1 ▁x i ▁trans pose ▁r 2 ▁m inu s ▁y ▁i ▁x i ▁trans pose ▁r 3
audio_0_31	▁so ▁si nce ▁the re ▁a re ▁t wo ▁independent ▁equations ▁th at ▁me ans ▁i f ▁i ▁give ▁y ou ▁c er ta in ▁point ▁correspondences ▁su pp ose ▁the ▁pro b le m ▁h ere ▁i s ▁th at ▁i ▁give ▁y ou ▁the ▁sc en e ▁point s ▁s a y ▁x 1 ▁a nd ▁al so ▁its ▁correspond ing ▁no ▁ ima ge ▁point ▁s m all ▁x 1 ▁i f ▁it ▁i s ▁give n ▁to ▁y ou ▁the n ▁i ▁can ▁a pp l y ▁the se ▁equations ▁i ▁wi ll ▁ge t ▁t wo ▁equations ▁b ut ▁h ow ▁ma n y ▁unknown s ▁a re ▁the re ▁a s ▁i ▁me n tion ed ▁in ▁the ▁projecti on ▁matrix ▁the re ▁a re ▁11 ▁unknown s ▁so ▁i ▁sho u ld ▁ge t ▁ at ▁l ea st ▁11 ▁equations ▁to ▁so l ve ▁for ▁a ll ▁the ▁unknown s ▁b ut ▁si nce ▁ one ▁point ▁correspondence ▁give s ▁me ▁t wo ▁equations ▁so ▁i ▁r equi re ▁ at ▁l ea st ▁s ix ▁su ch ▁point ▁correspondences ▁i ▁r equi re ▁ at ▁l ea st ▁s ix ▁su ch ▁point ▁correspondences ▁to ▁form ▁no ▁equations ▁a nd ▁f ro m ▁the re ▁i ▁can ▁est ima te ▁the ▁projecti on ▁matrix
audio_0_78	▁so ▁i f ▁i ▁multipl y ▁the ▁fi rst ▁equation ▁wi th ▁x ▁i ▁a nd ▁the n ▁ad d ▁it ▁u h ▁a nd ▁al so ▁multipl y ▁the ▁s ec ond ▁equation ▁wi th ▁y ▁i ▁so ▁y ou ▁multipl y ▁the ▁fi rst ▁equation ▁th is ▁equation ▁wi th ▁x ▁i ▁th at ▁i s ▁wh at ▁i s ▁to ld ▁h ere ▁a nd ▁th is ▁equation ▁wi th ▁y i ▁a nd ▁the n ▁i f ▁y ou ▁ad d ▁the m ▁y ou ▁wi ll ▁ge t ▁the ▁thi rd ▁equation ▁a ga in ▁wh i ch ▁i s ▁multipl i ed ▁b y ▁w ▁y ou ▁can ▁ ch ec k ▁th at ▁th ing ▁so ▁wh i ch ▁me ans ▁the se ▁equation ▁can ▁be ▁ der ive d ▁f ro m ▁the se ▁t wo ▁equations ▁so ▁wh i ch ▁me ans ▁th at ▁the re ▁a re ▁on l y ▁t wo ▁independent ▁equations ▁o ther ▁equation ▁can ▁be ▁ der ive d ▁so ▁th at ▁i s ▁wh y ▁in ▁the ▁ pre v i ou s ▁ca se ▁i ▁me n tion ed ▁th at ▁the re ▁a re ▁t wo ▁independent ▁equations ▁th at ▁w ou ld ▁be ▁formed ▁b y ▁u sing ▁its ▁ one ▁ sing le ▁point ▁correspondences ▁s p ec i f ic ation
audio_0_96	▁so ▁the re ▁a re ▁a ct u all y ▁ 2 n ▁n um b er ▁o f ▁l in ea r ▁equations ▁wh en ▁y ou ▁ge t ▁n ▁point ▁correspondences
audio_0_69	▁so ▁it ▁wi ll ▁be ▁w 1 ▁x i ▁trans pose ▁r 2 ▁m inu s ▁y ▁i ▁x i ▁trans pose ▁r 3
audio_0_2	▁so ▁the re ▁i s ▁a ▁projecti on ▁matrix ▁wh i ch ▁ma p s ▁a ▁th re e ▁dimension al ▁coordinate ▁point ▁to ▁a ▁t wo ▁dimension al ▁ ima ge ▁point ▁a nd ▁in ▁the ▁projecti ve ▁space ▁we ▁can ▁represent ▁the m ▁a s ▁in ▁th is ▁form
