id	tgt_text
audio_0_5	▁so ▁you ▁know ▁the ▁philosoph y ▁o f ▁product ▁design ▁ k ind ▁o f ▁c h a n g ed ▁b y ▁ tag uch i ▁who ▁re l i s h ed ▁who ▁propo s ed ▁a ▁philosoph y ▁ and ▁method o l o g y ▁for ▁design ing ▁qualit y ▁in t o ▁product s ▁ and ▁process e s
audio_0_92	▁so ▁that ▁ s t ar t s ▁the ▁process ▁you ▁hav e ▁possib le ▁ob j e ctiv e ▁i ▁hav e ▁c h o ic e ▁o f ▁variable s ▁pro b abl y ▁the ▁wid th ▁here ▁the ▁ s p o t ▁wid th ▁here ▁is ▁the ▁variable ▁which ▁is ▁the ▁re f le ctiv e ▁variable ▁o f ▁the ▁qualit y ▁o f ▁the ▁process
audio_0_17	▁so ▁choos e ▁the ▁parameter s ▁ way ▁so ▁that ▁there ▁ are ▁ mini m al i s t ic ▁variation s ▁in ▁the ▁parameter ▁ and ▁the ▁c a p a c it y ▁o f ▁the ▁part icul ar ▁engine ▁is ▁ al way s ▁ ke p t ▁on ▁a ▁to ▁ d e l i ver ▁o f ▁ p ar a m e t r ic ▁a ▁pro p er t y ▁or ▁a ▁ma y ▁be ▁a ▁ p er formance ▁o f ▁ p ar a m e t r ic ▁sho ul d ▁ al way s ▁be ▁ ke p t ▁on ▁the ▁o ver ▁ s i d e ▁ j us t ▁b y ▁a ▁li t t le ▁b it ▁so ▁that ▁ al way s ▁there ▁is ▁a ▁c om p l i ance ▁to ▁the ▁ p er formance ▁ m e t r ic s
audio_0_91	▁so ▁there ▁ha s ▁to ▁be ▁ v i e w ▁o f ▁that
audio_0_86	▁so ▁thi s ▁is ▁the ▁who le ▁control ▁ l o g ic ▁be h ind ▁plott ing ▁the ▁control ▁chart
audio_0_72	▁so ▁ w ill ▁c l o s e ▁thi s ▁ le ctur e ▁here ▁in ▁the ▁in t e re s t ▁o f ▁time ▁b u t ▁in ▁the ▁n e x t ▁ le ctur e ▁we ▁ w ill ▁pro b abl y ▁tr y ▁ and ▁se e ▁i f ▁we ▁can ▁do ▁some th ing ▁with ▁thi s ▁a q l ▁so ▁that ▁ it ▁c h a n g e ▁c o n t e x t u ally ▁to ▁wh at ▁is ▁the ▁ k ind ▁o f ▁the ▁parameter ▁that ▁we ▁ are ▁di s c us s ing
audio_0_21	▁so ▁ob v ious ly ▁the ▁parameter s ▁design ▁stage ▁sho ul d ▁a c c o u n t ▁for ▁the s e ▁factor s ▁whe re ▁there ▁is ▁no ▁control ▁on ▁the ▁re s p o n s i b le ▁factor ▁c o n tribut ing ▁to ▁the ▁no n ▁conformance ▁ and ▁the s e ▁ are ▁ al s o ▁c al le d ▁so ▁c al le d ▁the ▁no ise ▁factor
audio_0_15	▁so ▁ob v ious ly ▁a s ▁the ▁n a m e ▁ s u g g e s t ▁a ▁the ▁level ▁for ▁product ▁process ▁design ▁parameter s ▁ are ▁se t ▁to ▁ma d e ▁the ▁system ▁ p er formance ▁ le s s ▁se n s it i v e ▁to ▁the ▁ cause s ▁o f ▁variation ▁ th us ▁ mini m i z ing ▁qualit y ▁loss
audio_0_44	▁ 0 1 ▁level ▁or ▁ e v en ▁at ▁ 0
audio_0_35	▁for ▁the ▁ f i r s t ▁time ▁ tag uch i ▁propo s ed ▁that ▁you ▁know ▁thi s ▁is ▁some th ing ▁li ke ▁ w a it ing ▁up ▁ t ill ▁no n ▁conformance s ▁ha p p en ed ▁ and ▁ t a ke n ▁a ▁c or re ctiv e ▁a c tion
