id	tgt_text
audio_0_47	▁महणन च ▁फलकस च ▁कर स ▁स क शन ल ▁ ए र य ▁जय ल ▁आ पण ▁महण त ▁तर जय ▁ r ▁वर ▁फलकस ▁ प थ ▁आह ▁त ▁ p ▁वर ▁ 2 ▁ π ▁rl ▁असल ▁ 2 ▁ π ▁rl ▁अस ▁आह ▁क ▁द ड गल कर ▁आहत
audio_0_8	▁तर ▁आकत ▁ 1 3 ▁मटर ▁मधय ▁टर क ▁च ▁उतप द न ▁स प ष ट ▁करत
audio_0_19	▁तर ▁ड स ▁मशन मधय ▁अस ▁अ न क ▁बरश स ▁आहत ▁जय ल ▁ ओ प न ▁ड स ▁मशन ▁ प ह ल यस ▁अ न क ▁कम यट टर ▁सग म ट ▁महणतत
audio_0_10	▁द ल ल य ▁द शन ▁तर ▁द कष ण कड ल ▁अकष च य ▁खल ▁असलल ▁ ल क ▁ उ लट ▁द शन ▁परवह ▁वह त त
audio_0_13	▁आ ण ▁द कष ण कड ल ▁अकष च य ▁द कष ण कड ल ▁वह क ▁दसर य ▁द शन ▁परवह त ▁करत त ▁करण ▁त ▁ प ष ठ ▁दसर य ▁पर दश त ▁जत ▁आह ▁आ ण ▁ह ▁बरश ▁आह
audio_0_87	▁म ग ▁सरव ▁क ह ▁च नह क त ▁कल ल ▁धरव करण ▁स ह ज त न ▁ मळ ल
audio_0_25	▁त यवर न ▁ह ▁कळ ▁शक त ▁क ▁टर क ▁व क सत ▁हईल
audio_0_76	▁य च ▁अ रथ ▁अस ▁क ▁ r ▁जसतत ▁जसत ▁आह ▁त थ ▁पर र भ ▁कर ▁आ ण ▁न तर ▁ज वह ▁परव ठ ▁ हळ ▁कर ▁आ ण ▁स टर टर ▁सबध त ▁य ▁कर स ▁मधय ▁अ भ यस ▁ह ण र ▁नह ▁ d c ▁मशन ▁स टर टर ▁अ भ यस ▁करण र ▁नह
audio_0_20	▁तर ▁तय ▁ब ब त त ▁त ▁नयटरल ▁अकष त न ▁करट ▁जत
audio_0_15	▁तर ▁ आरम च र ▁फरत ▁असत न ▁वर ल ▁सबध ▁क यम ▁ र खल ▁जतत
audio_0_78	▁एक द ▁ r ▁ 0 ▁आह ▁च ल ▁सथ त ▁न तर ▁य ▁sp s t ▁सवच ल ▁बद ▁कर ▁ज ण कर न ▁ह ▁पर ण पण ▁क पल ▁ज ई ल ▁आ ण ▁य ▁मरग व र ▁ज ई ल
audio_0_26	▁तर ▁तय ▁अतर ग त ▁आ ण ▁य मळ ▁खल च य ▁ब ज ल ▁करय र त ▁अस ण र ▁शक त ▁आ ण ▁ घ डय ळ च य ▁वर द ध ▁द शन ▁ ठ प क ▁न रमण ▁करल
audio_0_27	▁त स च ▁द कष ण कड ल ▁धरव ▁अतर ग त ▁वह क ▁ब ह य ▁परवह ▁वह न ▁वह त त ▁ज ▁ ऊ रध व ग म ▁शक त ▁तय र ▁करत त ▁जय मळ ▁ह ▁शक त ▁परत रध क ▁ घ डय ळ च य ▁द शन ▁टर क ▁ ल ▁न रमण ▁करत ▁तर ▁तय अ रथ ▁ज र ▁ह व त ल ▁अतर ▁परवह ▁असल ▁तर ▁सरव ▁बद कड ▁ र डय ल ▁न र दश त ▁असल
audio_0_77	▁ पण ▁व ग ▁य त च ▁ हळ हळ ▁परतकर ▁कम ▁करल ▁आ ण ▁परत रध क ▁ 0 ▁हईल
audio_0_4	▁तर ▁ग ष ट ▁स प य ▁आहत
audio_0_16	▁तर ▁ज वह ▁ आरम च र ▁कम यट टर ▁व भ ग ▁ फ र व ल
audio_0_65	▁करण ▁जत क य ▁लव कर ▁आ मह ▁परत ▁e m f ▁च ल ▁करत ▁त त क य ▁लव कर ▁त थ ▁ नस त ▁आ ण ▁अ ग द ▁ थ डय ▁वळ न ▁त थ ▁कम त क म ▁मल य ▁असल
audio_0_40	▁आ त ▁ज र ▁आ य ए ▁ आरम च र ▁करट ▁असल ▁तर ▁म ▁आ य ए ▁ ओ ल ▁अ ▁य च ▁अ रथ ▁अस ▁क ▁म ▁क य ▁महण त ▁म ▁ आरम च र ▁करट ▁आह
audio_0_60	▁आ त ▁ड स ▁मटर ▁च ▁सम क कष ▁सर कट ▁आ त ▁य ▁आकत य न ▁क ढ ल ▁आह ▁ह ▁सव ततर पण ▁ उ त स ह ▁ड स ▁मशन ▁ d c ▁मटर ▁आह
audio_0_21	▁तय मळ ▁ आरम च र ▁फरत व ळ ▁वर ल ▁सबध ▁क यम ▁ र खल ▁जतत
audio_0_28	▁महणन ▁परतयक ▁शक त ▁स प र श कर त य ▁करय ▁करत ▁आ ण ▁उतप न न ▁करत ▁ज यस ▁वळ ण ▁ब ल च य ▁ग ण कर ▁तय च य ▁ ल वह र आरम ▁सर ख ▁ह त
audio_0_7	▁आ ण ▁ह ▁द न ▁ ठ प क ▁य थ ▁आहत ▁ह ▁मल त ▁नयटरल कष तर ▁आह
audio_0_38	▁आ ण ▁आ र ▁सर स र ▁तर जय ▁आह ▁ज यवर ▁ कड क टर ▁ ठ व ल ▁जतत ▁ज ▁मटर ▁द खल ▁असत त
audio_0_49	▁महणन ▁ज र ▁सरव न ▁पर य य ▁ मळ ल ▁तर ▁ t ▁ z l ▁i ▁ r ▁ u p on ▁ 2 ▁ π ▁rl ▁ p ▁ a ▁नयट न ▁मटर ▁आह ▁क व ▁आ मह ▁ t ▁ z ▁i a ▁ u p on ▁ 2 ▁ π ▁ p ▁ a ▁नयट न ▁मटर ▁क व ▁ 0
audio_0_71	▁आ ण ▁ह ▁परतकर ▁जसतत ▁जसत ▁हईल ▁ज वह ▁ह ▁सवच ▁खल ▁आह
audio_0_79	▁तर ▁ d c ▁मटर ▁च ल ▁करण यस ठ ▁ह ▁सव ततर पण ▁करय र त ▁आह ▁आ ण ▁ v ▁टर म न ल ▁वह लट ज ▁आह ▁आ ण ▁e b ▁ह ▁ब क ▁ ए ए म ए फ ▁आह
audio_0_43	▁तर ▁ह ▁एक स र ख पण च ▁आह ▁महणन च ▁त ▁सम न ▁ प रमण त ▁व तर त ▁कल ▁जत
audio_0_53	▁तर ▁ t ▁य ▁सरव ▁ग ष ट ▁सथ र ▁आहत ▁महणन ▁आ मह ▁लह ▁शक त ▁ t ▁ k ▁i ▁आह ▁त ▁i a ▁द र ▁ 0
audio_0_37	▁आ त ▁ब ▁फलकस ▁ड न सट ▁व फ ▁मटर 2 ▁ ए म प य र ▁असलल य ▁ कड क टर ▁मधय ▁ इ र म च र ▁करट ▁मटर ▁असलल य ▁परतयक ▁ कड क टर ▁च ▁ ल ब ▁ l
audio_0_42	▁तर ▁दसर ▁ग ष ट ▁महण ज ▁फलकस ▁ड न सट ▁b ▁ प ह ज ▁b ▁लह न ▁ a ▁आ ण ▁ a ▁सम तर ▁मरग च ▁स ख य
audio_0_81	▁ह ▁व श ष ट ▁कषतर त ▁अतर क त ▁परत रध क ▁ r f ▁आह ▁आ ण ▁ह ▁फल ड ▁ र न ग ▁आ ण ▁फल ड ▁ र स सट नस ▁ r f ▁आह ▁आ ण ▁ह ▁परव ठ ▁आह
audio_0_0	▁ प ढ ▁मटर ▁मधय ▁टर क ▁व क सत ▁कल ▁जत ▁महणन च ▁य ल ▁ग त ▁द ल ▁जत ▁ह ▁कम यट टर ▁व भ ग ▁ह ▁बरश स ▁आहत ▁आ ण ▁ह ▁ कड क टर ▁ ठ व ल ल ▁ब ज ▁आह
audio_0_51	▁ 1 5 9 ▁आह
audio_0_83	▁पर य ग श ळ त ल ▁ d c ▁मशन ▁च ▁ आरम च र ▁ र झ सट नस ▁ह ▁क स ▁म ज त ▁य ई ल
audio_0_23	▁तर ▁ प ढ ल ▁ उ ततर कड ल ▁सरव ▁ कड क टर ▁अ त प र वह ▁वह न ▁न ण र ▁परवह ▁आहत ▁जय ▁म ▁फलकस ▁क न वह ज न ▁द व र ▁द र श व ल य ▁आहत ▁जय ▁अ ध र ख त ▁करय ▁शक त ▁न रमण ▁करण यस ठ ▁ग प ▁फलकस ▁स ह ▁परतकर य ▁द त त ▁आ ण ▁ह ▁ घ डय ळ च य ▁ उ लट ▁द शन ▁टर क ▁च ▁परतकर ▁करत
audio_0_85	▁तर ▁आ य ए ▁ आरम च र ▁करट ▁ लड ▁करट ▁आ ण ▁e b ▁ v ▁i a ▁ r ▁ r a
audio_0_63	▁आ ण ▁य ल च ▁ह ▁मटर ▁अस ▁महणतत ▁ह ▁परव ठ ▁वह लट ज ▁आह ▁ह ▁ आरम च र ▁ र झ सट नस ▁ r a ▁ज ▁ ख प ▁ छ ट ▁आह ▁e b ▁ब क ▁e m f ▁आह ▁धरव पण ▁च नह क त ▁आह ▁य थ ▁i a ▁सम न ▁आह ▁i l ▁ आरम च र ▁करट ▁ लड ▁करट ▁ r ▁ 0 ▁असत न ▁ह ▁अ ट ▁आह
audio_0_39	▁आ ण ▁ झ ड ▁एक ण ▁ आरम च र ▁ कड क टर ▁च ▁स ख य
audio_0_36	▁आ त ▁ज र ▁मटर ▁मधय ▁ झ ड ▁ कड क टर ▁असत ल ▁तर ▁एक ण ▁टर क ▁व क सत ▁ झ ल ▁असल ▁ आरम च र ▁b e b ▁i l ▁ r ▁ z ▁नयट न ▁मटर ▁असल ▁करण ▁त ▁एक ▁ कड क टर ▁स ठ ▁ह त ▁परत ▁एक ण ▁b e b ▁i l ▁ r ▁ z ▁नयट न ▁मटर ▁ब ई ड ▁करल
audio_0_29	▁महणन च ▁ कड क टर ▁च य ▁मधय भ ग ▁ श फ ट ▁च य ▁मधय भ ग ▁ र डय ल ▁अतर ▁आह
audio_0_57	▁तर ▁फलकस ▁ह ▁फल ड ▁करट च ▁ प रमण ▁आह ▁आ मह ▁मल क ▁मटर ▁आ ण ▁त ▁क स ▁आह ▁त ▁ प ह
audio_0_24	▁महणन च ▁य ल ▁आकत ▁अस ▁महणतत ▁करण ▁य ▁च ब क य ▁कषतर प स न ▁द र ब ल ▁असलल य ▁आकत मधय ▁ह ▁सरव ▁ब ल ▁आ र ख ▁आह ▁य ▁आकत प स न ▁परतयक ▁ ठ क ण ▁त ▁त ▁ड ऊ न ▁ड ऊ न लड ▁आह ▁ह ▁वर च य ▁द शन ▁आह
audio_0_54	▁ 1 5 9 ▁ z p ▁ a ▁एक ▁सथ र ▁आह ▁ z p ▁म झ ▁अ रथ ▁अस ▁आह ▁क ▁म ▁द र ▁एक ▁ z p ▁ घ त ल ▁आह
audio_0_62	▁व ग व ग ळ य ▁स तर त कड न ▁ d c ▁परव ठ ▁सव ततर पण ▁कषतर त ▁द ल ▁जत
audio_0_46	▁य च ▁अ रथ ▁अस ▁क ▁ मळ त ▁त ▁ 2 ▁ π ▁rl p ▁असत ▁ज ▁परत ▁ ख ब च ▁ प ष ठ भ ग ▁असत
audio_0_5	▁आ त ▁ज वह ▁मशन ▁च ▁कषतर ▁ उ त स ह त ▁ह त ▁आ ण ▁त ▁आ ण ▁स भ व य ▁ फ र क ▁मशन ▁टर म न ल स ▁वर ▁पर भ व ▁ प ड त त ▁त वह ▁ आरम च र ▁ w i n d i n g ▁मधय ▁व द य त ▁परवह ▁टर क ▁तय र ▁करण यस ठ ▁व य ▁अतर च य ▁परवह स ह ▁परतकर य ▁द त ▁जय मळ ▁ आरम च र ▁फरत
audio_0_34	▁तर ▁ह ▁तर जय ▁आह ▁ह ▁सरव ▁लह त ▁आह ▁महणन ▁कळ ज प र व क ▁व च
audio_0_3	▁आ ण ▁ह ▁टर क ▁च ▁उतप द न ▁आह ▁त ▁आ कर त ▁द ड गल कर ▁ह त
audio_0_64	▁व सत व क ▁ज वह ▁ d c ▁मशन ▁सर ▁करल ▁त वह ▁पर थ म ▁वर ष ल ▁क द च त ▁ प ह ल ▁क ▁त ▁सर ▁करण यस ठ ▁ड स ▁मशन ▁च ▁ r ▁जसतत ज सत ▁ प ह ज
audio_0_72	▁ह ▁परतकर ▁ 0 ▁वर ▁ कट ▁कल य मळ ▁कम ▁परतकर ▁अस ▁शक त ▁करण ▁ह ▁सवच ▁बद ▁कल यवर ▁ह ▁मरग ▁अस ▁असल
audio_0_11	▁तर ▁ह ▁ प ह ▁तर ▁ह ▁नयटरल झ न ▁आह
audio_0_30	▁तर ▁अ श प र कर ▁आ पल य ल ▁ब ल च ▁सम करण ▁क स ▁कळ ल ▁e m f ▁सम करण ▁आ पल य ल ▁ मह त ▁आह
audio_0_32	▁म ग ▁परतयक ष त ▁य ल ▁ज ▁ज ▁महणतत ▁तय च ▁म ज म प ▁करत ▁क ▁ यम ध न ▁ह ▁एक ▁द ड गल कर ▁आ कर ▁आह ▁ह ▁एक ▁स लड र ▁आ कर ▁आह ▁ज ▁आकत त ▁द र श व ल ▁जत ▁नह
audio_0_67	▁महणन च ▁परतकर ▁जसतत ▁जसत ▁अस व ▁आ ण ▁न तर ▁त थ ▁परव ठ ▁सर ▁कर
audio_0_35	▁ह ▁म झ ▁टर क ▁सम करण ▁b ▁i l ▁ r ▁नयट न ▁मटर ▁आह
