id	tgt_text
audio_0_47	▁so ▁th at ▁ is ▁w h y ▁ c r o s s ▁ s ection al ▁are a ▁of ▁fl u x ▁we ▁call ▁it ▁ is ▁a ▁fl u x ▁pa th ▁ at ▁radi us ▁r ▁it ▁w ill ▁be ▁ 2 ▁pi ▁r ▁l ▁up on ▁ p ▁ 2 ▁pi ▁r ▁l ▁ is ▁th at ▁you r ▁so ▁we ▁are ▁as s um e ▁this ▁ is ▁cylindrical
audio_0_8	▁so ▁f i g ur e ▁ 1 3 ▁ ill ust rate ▁the ▁ p r o d u c tion ▁of ▁torque ▁in ▁a ▁motor
audio_0_19	▁so ▁th at ▁ is ▁you r ▁th at ▁ is ▁you ▁ h ave ▁in ▁a ▁d c ▁machine ▁you ▁ h ave ▁ s ever al ▁you r ▁b r us hes ▁you ▁are ▁what ▁you ▁call ▁ s ever al ▁com mu t ator ▁segment ▁ if ▁you ▁se e ▁th at ▁open ▁d c ▁machine
audio_0_10	▁so ▁ all ▁the ▁current s ▁in ▁ u nd er ▁you r ▁ all ▁the ▁conductor s ▁ u nd er ▁the ▁ n or th ▁pol e ▁fl ow ing ▁in ▁ one ▁d i r ection ▁right
audio_0_13	▁a nd ▁in ▁the ▁so u th ▁conductor s ▁ u nd er ▁so u th ▁pol e ▁carry ing ▁current ▁in ▁the ▁ other ▁d i r ection ▁be ca us e ▁w here ▁ g o ing ▁in to ▁the ▁pa g e ▁a n other ▁re g i on ▁what ▁you ▁call ▁ le a v ing ▁the ▁pa g e ▁a nd ▁this ▁ is ▁the ▁b r us hes ▁right
audio_0_87	▁the n ▁you ▁w ill ▁ g e t ▁you ▁ca n ▁ e a si ly ▁m ake ▁it ▁pol a rit y ▁every thing ▁ is ▁m a r k ed
audio_0_25	▁f r om ▁th at ▁you ▁ca n ▁f i nd ▁ o ut ▁th at ▁torque ▁w ill ▁be ▁d eve l ope d ▁right
audio_0_76	▁when ▁th at ▁mean s ▁what ▁th at ▁mean s ▁you r ▁you ▁start ▁this ▁w here ▁r ▁ is ▁m axi m um ▁right ▁a nd ▁the n ▁slow ▁when ▁a nd ▁some ▁give ▁the ▁supply ▁a nd ▁re g ard ing ▁start er ▁ is ▁ not ▁st u d y ▁in ▁this ▁cou r se ▁d c ▁machine ▁start er ▁w ill ▁ not ▁st u d y
audio_0_20	▁so ▁in ▁th at ▁ca se ▁th at ▁you ▁ h ave ▁to ▁what ▁you ▁call ▁ j ust ▁i ▁to ld ▁it ▁pa s se s ▁th r o u g h ▁the ▁ne ut ral ▁ axi s
audio_0_15	▁so ▁th at ▁a b o v e ▁re l a tion ▁ is ▁al way s ▁m a i n ta i n ed ▁as ▁the ▁arm at ur e ▁rotate s
